Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-04-01 00:00:00+00:00,1919.37,1984.77,1885.02,1968.05,741585.07266,2021-04-01 23:59:59.999000+00:00,1438751530.7872295,994836,371883.72089,721736727.4450142,0
2021-04-02 00:00:00+00:00,1968.05,2146.0,1948.48,2133.69,846197.93215,2021-04-02 23:59:59.999000+00:00,1719752062.5167284,1218698,436010.09375,886653805.0691665,0
2021-04-03 00:00:00+00:00,2133.69,2138.12,1996.3,2008.52,770176.32192,2021-04-03 23:59:59.999000+00:00,1601516390.5971153,1107620,363187.43008,755374910.2259054,0
2021-04-04 00:00:00+00:00,2008.59,2091.83,1975.24,2075.69,514345.76554,2021-04-04 23:59:59.999000+00:00,1050448906.4424022,818926,263875.56295,538795778.1429204,0
2021-04-05 00:00:00+00:00,2075.7,2130.64,2002.15,2107.38,684923.61494,2021-04-05 23:59:59.999000+00:00,1419084945.8137891,947978,343642.59997,712219066.8657458,0
2021-04-06 00:00:00+00:00,2107.43,2151.0,2044.65,2112.21,673386.05575,2021-04-06 23:59:59.999000+00:00,1420490813.0390558,1106761,332812.25752,702230157.7878639,0
2021-04-07 00:00:00+00:00,2112.22,2129.01,1930.01,1963.47,892984.90422,2021-04-07 23:59:59.999000+00:00,1798606574.0535572,1229155,437902.88352,882121983.6155155,0
2021-04-08 00:00:00+00:00,1963.46,2084.61,1947.35,2080.46,501355.998,2021-04-08 23:59:59.999000+00:00,1015796231.0118822,911403,250910.57734,508200399.2728804,0
2021-04-09 00:00:00+00:00,2080.39,2100.0,2047.57,2066.87,426387.4379,2021-04-09 23:59:59.999000+00:00,885134116.0229065,645172,205375.78451,426445139.8748137,0
2021-04-10 00:00:00+00:00,2067.19,2200.0,2058.0,2133.49,655458.20894,2021-04-10 23:59:59.999000+00:00,1405364881.8583133,1175161,330628.54391,708994754.4852773,0
2021-04-11 00:00:00+00:00,2133.49,2165.02,2113.4,2151.36,392265.50773,2021-04-11 23:59:59.999000+00:00,839653140.9405916,830771,197850.92141,423496403.3909447,0
2021-04-12 00:00:00+00:00,2151.42,2203.46,2102.0,2137.69,579093.35694,2021-04-12 23:59:59.999000+00:00,1244982956.770031,914567,286715.00745,616499175.9046108,0
2021-04-13 00:00:00+00:00,2137.86,2318.0,2135.53,2299.19,782608.6209,2021-04-13 23:59:59.999000+00:00,1745821661.496614,1288668,399098.2072,890600412.464373,0
2021-04-14 00:00:00+00:00,2299.19,2447.29,2281.33,2432.6,972931.60866,2021-04-14 23:59:59.999000+00:00,2294753430.6274076,1554097,495400.5019,1168618278.836883,0
2021-04-15 00:00:00+00:00,2432.59,2543.47,2400.0,2514.04,681950.96645,2021-04-15 23:59:59.999000+00:00,1680063463.6011207,1462768,355972.40197,877438758.0443232,0
2021-04-16 00:00:00+00:00,2514.04,2548.29,2300.0,2422.67,999163.75205,2021-04-16 23:59:59.999000+00:00,2418566593.0473742,1679215,486268.80792,1177128974.4662452,0
2021-04-17 00:00:00+00:00,2422.38,2495.0,2310.0,2317.6,624232.25568,2021-04-17 23:59:59.999000+00:00,1504895144.9122343,1242299,306700.14929,739461805.3209878,0
2021-04-18 00:00:00+00:00,2317.65,2340.0,1946.8,2235.64,1475383.69204,2021-04-18 23:59:59.999000+00:00,3190809322.510461,2113566,722180.39492,1562761985.6647463,0
